'phucnh.22it@vku.udn.vn','Vkuudn2022','Nguyễn Hương Phúc','03429990003',1,'VKU'
'anhdv.22it@vku.udn.vn','Vkuudn2022','Đỗ Vĩ Ánh','09721272470',1,'VKU'
'tienn.22it@vku.udn.vn','Vkuudn2022','Nam Tiến','07642227923',1,'VKU'
'tutn.22it@vku.udn.vn','Vkuudn2022','Trần Nguyên Tú','06598608830',1,'VKU'
'baodq.22it@vku.udn.vn','Vkuudn2022','Dương Quân Bảo','03286503962',0,'VKU'
'namvb.22it@vku.udn.vn','Vkuudn2022','Võ Bình Nam','09585007719',0,'VKU'
'duongtt.22it@vku.udn.vn','Vkuudn2022','Trần Thông Dương','02764854837',1,'VKU'
'conglt@smp.udn.vn','Smpudn2022','Lê Thư Công','08716369875',0,'SMP'
'hq.22gba@vku.udn.vn','Vkuudn2022','Huỳnh Quang ','00730433224',1,'VKU'
'tindq.22it@vku.udn.vn','Vkuudn2022','Dương Quân Tín','03742127500',0,'VKU'
'hoangdh.22git@vku.udn.vn','Vkuudn2022','Đỗ Hùng Hoàng','05896745642',0,'VKU'
'nhienhd.22it@vku.udn.vn','Vkuudn2022','Hồ Danh Nhiên','03418761206',1,'VKU'
'duyht.22it@vku.udn.vn','Vkuudn2022','Huỳnh Tâm Duy','06332544416',0,'VKU'
'kietnx.22it@vku.udn.vn','Vkuudn2022','Ngô Xuân Kiệt','07876543227',0,'VKU'
'longlk.22it@vku.udn.vn','Vkuudn2022','Lý Khanh Long','06748616936',0,'VKU'
'tuhl.22gba@vku.udn.vn','Vkuudn2022','Huỳnh Lan Tú','05190476038',1,'VKU'
'gianghn.22it@vku.udn.vn','Vkuudn2022','Hồ Nhàn Giang','07066932276',1,'VKU'
'datlt.22git@vku.udn.vn','Vkuudn2022','Lê Tiên Đạt','01435418033',0,'VKU'
'nguyendl.22git@vku.udn.vn','Vkuudn2022','Đặng Loan Nguyên','06857116730',1,'VKU'
'khanhbk.22ba@vku.udn.vn','Vkuudn2022','Bùi Kiều Khánh','07026839057',1,'VKU'
'vinhdh.22it@vku.udn.vn','Vkuudn2022','Đặng Huy Vinh','08732475378',0,'VKU'
'congnb.22gba@vku.udn.vn','Vkuudn2022','Nguyễn Băng Công','06393206970',0,'VKU'
